ID,QUIZ: Financial Aid Requirement,Career Action Plan Check-In 1,Career Action Plan Check-In 2,Career Action Plan Check-In 3,Part 1 of Final Project - Interview Professional Approval,Part 2 of Final Project: Informational Interview,Week 1: To-DO Points Submission,Week 2: To-DO Points Submission,Week 3: To-DO Points Submission,Week 4: To-DO Points Submission,Week 5: To-DO Points Submission,Week 6: To-DO Points Submission,Week 7: To-DO Points Submission,Week 8: To-DO Points Submission,Week 9: To-DO Points Submission,Week 10: To-DO Points Submission,Week 11: To-DO Points Submission,Week 12: To-DO Points Submission,Week 13: To-DO Points Submission,1st Points Deadline Activity Assignment,2nd Points Deadline Activity Assignment,Final Earned To-DO Points Running Total (Max 30),Assignment 1: Networking with a Purpose,Assignment 2: The Optimized Resume,Assignment 3: Communicating Your Brand,In-Class LIVE Lecture Assignment for Attendance,Week 2 Quiz,Week 3 Quiz,Week 4 Quiz,Week 5 Quiz,Week 6 Quiz,Week 7 Quiz,Week 8 Quiz,Week 9 Quiz,Week 11 Quiz,Week 13 Quiz,Final Points,Final Score,Final Grade
4414103,10,5,5,5,10,40,,,,,10,10,,,,,,,10,15,15,30,30,5,30,30,5,5,5,5,5,5,5,5,5,5,250,100,A
4419238,10,5,5,5,10,40,5,5,,,,10,,,10,,,,,15,15,30,30,5,30,30,5,5,5,5,5,5,5,5,5,5,250,100,A
4418750,10,5,5,5,10,40,,10,,,5,,,,,,,15,,15,15,30,30,5,30,30,5,5,5,5,5,5,5,5,5,5,250,100,A
4448527,9.75,5,5,5,10,40,,15,,,5,,,5,,10,,,,15,15,30,30,5,30,30,5,5,5,5,5,5,4,5,5,5,248.75,99.5,A
4441284,9.44,5,5,0,10,40,10,,,,,5,,,,15,,,,15,15,30,30,5,30,30,4,5,5,5,5,4,4,5,5,5,241.44,96.58,A
4526191,10,5,5,0,10,0,,,,,10,,5,,10,5,,,,15,15,30,30,5,30,30,5,5,5,4,5,5,5,5,5,5,204,81.6,B
4525812,10,5,5,0,10,40,,,,5,,5,5,5,,5,,5,,15,15,30,30,5,30,30,5,5,5,5,5,5,5,5,4,5,244,97.6,A
4462520,10,5,5,5,10,40,,10,,,5,,,,5,,,5,5,15,15,30,22.5,5,30,30,4,5,5,5,5,5,5,5,5,5,241.5,96.6,A
4419922,9.5,5,5,5,10,40,,,5,5,,,5,,5,5,,,15,15,15,30,30,5,30,30,4,5,5,5,5,5,5,5,5,5,248.5,99.4,A
4418905,8.69,5,0,0,0,0,,,,,,,20,,,,,,10,15,15,30,30,0,29,0,5,5,5,5,5,5,5,5,5,0,147.69,59.08,F
4463479,10,5,5,5,0,40,10,,,,,,,,,,,,,0,0,0,30,5,30,30,5,4,5,5,5,4,5,4,3,5,205,82,B
4380394,9.38,5,3.75,5,10,40,,,,5,5,5,,,5,5,,,5,15,15,30,30,5,22.5,30,5,5,5,5,5,5,5,5,5,5,240.63,96.25,A
4463214,9.45,5,5,5,10,40,,10,,5,5,5,,,,5,,,,15,15,30,30,5,30,30,5,5,5,5,5,5,5,4,5,5,248.45,99.38,A
4508258,10,5,0,0,10,40,,5,,,,,,,,,,,,0,0,0,22.5,5,30,30,5,4,5,5,4,5,5,5,4,5,199.5,79.8,C+
4472547,10,5,5,5,10,40,,,,5,,,10,,,,5,5,5,15,15,30,30,5,22.5,30,5,5,5,5,5,5,5,5,5,5,242.5,97,A
4475062,10,5,5,5,10,40,,,,5,,,10,,,,,,15,15,15,30,30,3.75,22.5,30,5,5,5,5,0,5,5,5,5,5,236.25,94.5,A
4432487,9.44,5,5,5,0,40,,,,10,,10,,,,,,,10,15,15,30,30,5,30,30,5,5,5,5,5,5,5,4,5,5,238.44,95.38,A
4412795,10,5,5,5,10,40,,10,10,,,,,,10,,,,,15,15,30,30,5,30,30,5,5,5,5,5,5,5,4,5,5,249,99.6,A
4426987,9.31,5,5,5,10,40,,,,,,,,,,,,,15,0,15,15,30,0,22.5,30,5,5,5,5,5,5,5,4,4,5,219.81,87.93,B
4406229,10,5,5,5,10,40,,,,,10,,5,,,,,,15,15,15,30,30,5,30,30,5,5,5,5,4,0,5,5,0,5,239,95.6,A
4451268,9.88,5,5,5,10,40,,,,5,,5,5,5,10,,,,,15,15,30,30,5,30,30,5,5,5,5,5,5,5,5,5,5,249.88,99.95,A
4426216,9.75,5,5,5,0,40,,,20,,,,10,,,,,,,15,15,30,30,5,29,30,5,5,5,5,5,5,5,5,5,5,238.75,95.5,A
